fundo_kinea,categoria_xp,classe_anbima_cvm,n_universo_inicial,n_concorrentes_diretos,observacao
Kinea Chronos FIM RL - Subclasse I,Multimercado - Macro,Multimercados Macro,648,631,"n_universo_inicial = categoria inteira (inclui 17 fundo(s) da própria Kinea nessa classe); n_concorrentes_diretos = excluindo Kinea, é a base usada nas comparações de Liquidez/custos e Retorno/risco."
Kinea Rendimentos Imobiliarios FII (KNCR11),Fundo Imobiliário (FII),FII - Multicategoria,660,647,"n_universo_inicial = categoria inteira (inclui 13 fundo(s) da própria Kinea nessa classe); n_concorrentes_diretos = excluindo Kinea, é a base usada nas comparações de Liquidez/custos e Retorno/risco."
Kinea Atlas II FIM RL - Subclasse I,Multimercado - Macro,Multimercados Macro,648,631,"n_universo_inicial = categoria inteira (inclui 17 fundo(s) da própria Kinea nessa classe); n_concorrentes_diretos = excluindo Kinea, é a base usada nas comparações de Liquidez/custos e Retorno/risco."
Kinea Oportunidade FIF RF CP RL - Subclasse I,Renda Fixa,Renda Fixa Duração Livre Crédito Livre,3062,2823,"n_universo_inicial = categoria inteira (inclui 239 fundo(s) da própria Kinea nessa classe); n_concorrentes_diretos = excluindo Kinea, é a base usada nas comparações de Liquidez/custos e Retorno/risco."
Kinea Gama FIF CIC em Acoes RL - Subclasse I,Ações,Ações Livre,1856,1853,"n_universo_inicial = categoria inteira (inclui 3 fundo(s) da própria Kinea nessa classe); n_concorrentes_diretos = excluindo Kinea, é a base usada nas comparações de Liquidez/custos e Retorno/risco."
Kinea IPCA Dinamico II FIF RF RL - Subclasse II,Renda Fixa,Renda Fixa Duração Livre Crédito Livre,3062,2823,"n_universo_inicial = categoria inteira (inclui 239 fundo(s) da própria Kinea nessa classe); n_concorrentes_diretos = excluindo Kinea, é a base usada nas comparações de Liquidez/custos e Retorno/risco."
Kinea Alpes Prev XP Seg RF CP FICFI,Multimercado,Previdência Multimercado Livre,2458,2428,"n_universo_inicial = categoria inteira (inclui 30 fundo(s) da própria Kinea nessa classe); n_concorrentes_diretos = excluindo Kinea, é a base usada nas comparações de Liquidez/custos e Retorno/risco."
Kinea Renda Imobiliaria FII (KNRI11),Fundo Imobiliário (FII),FII - Multicategoria,660,647,"n_universo_inicial = categoria inteira (inclui 13 fundo(s) da própria Kinea nessa classe); n_concorrentes_diretos = excluindo Kinea, é a base usada nas comparações de Liquidez/custos e Retorno/risco."
Kinea Indices de Precos FII (KNIP11),Fundo Imobiliário (FII),FII - Multicategoria,660,647,"n_universo_inicial = categoria inteira (inclui 13 fundo(s) da própria Kinea nessa classe); n_concorrentes_diretos = excluindo Kinea, é a base usada nas comparações de Liquidez/custos e Retorno/risco."
Kinea Infra FII (KDIF11),Outros,Renda Fixa Duração Livre Crédito Livre,3062,2823,"n_universo_inicial = categoria inteira (inclui 239 fundo(s) da própria Kinea nessa classe); n_concorrentes_diretos = excluindo Kinea, é a base usada nas comparações de Liquidez/custos e Retorno/risco."
Kinea Fundo de Fundos Imobiliarios FII (KFOF11),Fundo Imobiliário (FII),FII - Multicategoria,660,647,"n_universo_inicial = categoria inteira (inclui 13 fundo(s) da própria Kinea nessa classe); n_concorrentes_diretos = excluindo Kinea, é a base usada nas comparações de Liquidez/custos e Retorno/risco."
Kinea Credito Agro FIAGRO FII (KNCA11),Fundo Imobiliário (FII),FIAGRO,8,5,"n_universo_inicial = categoria inteira (inclui 3 fundo(s) da própria Kinea nessa classe); n_concorrentes_diretos = excluindo Kinea, é a base usada nas comparações de Liquidez/custos e Retorno/risco."
Kinea High Yield CRI FII (KNHY11),Fundo Imobiliário (FII),FII - Multicategoria,660,647,"n_universo_inicial = categoria inteira (inclui 13 fundo(s) da própria Kinea nessa classe); n_concorrentes_diretos = excluindo Kinea, é a base usada nas comparações de Liquidez/custos e Retorno/risco."
Kinea Andes FIF CIC RF CP LP RL,Renda Fixa,Renda Fixa Duração Livre Crédito Livre,3062,2823,"n_universo_inicial = categoria inteira (inclui 239 fundo(s) da própria Kinea nessa classe); n_concorrentes_diretos = excluindo Kinea, é a base usada nas comparações de Liquidez/custos e Retorno/risco."
Kinea Apolo FIF MM RL,Multimercado - Macro,Multimercados Macro,648,631,"n_universo_inicial = categoria inteira (inclui 17 fundo(s) da própria Kinea nessa classe); n_concorrentes_diretos = excluindo Kinea, é a base usada nas comparações de Liquidez/custos e Retorno/risco."
Kinea Dakar FIF CIC RF LP RL,Renda Fixa,Renda Fixa Duração Livre Crédito Livre,3062,2823,"n_universo_inicial = categoria inteira (inclui 239 fundo(s) da própria Kinea nessa classe); n_concorrentes_diretos = excluindo Kinea, é a base usada nas comparações de Liquidez/custos e Retorno/risco."
Kinea Incentivado RF CP LP FIF,Renda Fixa,Renda Fixa Duração Livre Crédito Livre,3062,2823,"n_universo_inicial = categoria inteira (inclui 239 fundo(s) da própria Kinea nessa classe); n_concorrentes_diretos = excluindo Kinea, é a base usada nas comparações de Liquidez/custos e Retorno/risco."
