nome_referencia,url,tipo_pagina,status_confirmacao,referencia_fundo_kinea
SPX Seahawk Icatu Previdencia FICFIM Multimercado Credito Privado,https://conteudos.xpi.com.br/previdencia-privada/spx-seahawk-icatu-previdencia-ficfi-multimercado-credito-privado/,previdencia,identificado_pendente,Kinea Alpes Prev
Ibiuna ST Prev Icatu FIM Multimercado Credito Privado,https://conteudos.xpi.com.br/previdencia-privada/ibiuna-st-prev-icatu-fundo-de-investimento-multimercado-credito-privado/,previdencia,identificado_pendente,Kinea Alpes Prev
Itau Sinfonia XP Seg Prev FIC Multimercado Credito Privado,https://conteudos.xpi.com.br/previdencia-privada/itau-sinfonia-xp-seg-prev-fundo-de-investimento-em-cotas-multimercado-credito-privado-responsabilidade-limitada/,previdencia,identificado_pendente,Kinea Alpes Prev
Sparta Debentures Incentivadas FIC FI-Infra RF,https://conteudos.xpi.com.br/fundos-de-investimento/sparta-debentures-incentivadas-firf-cp/,fundo_aberto,identificado_pendente,Kinea Infra FII (KDIF11)
Itau Debentures Incentivadas FIF CIC em Infra,https://conteudos.xpi.com.br/fundos-de-investimento/itau-debentures-incentivadas-fc-incentivado-investimento-inf/,fundo_aberto,identificado_pendente,Kinea Infra FII (KDIF11)
SulAmerica Infra FI Infra RF,https://conteudos.xpi.com.br/fundos-de-investimento/sulamerica-debentures-incentivadas-fim-cp/,fundo_aberto,identificado_pendente,Kinea Infra FII (KDIF11)
Devant Recebiveis Imobiliarios FII (DEVA11),https://conteudos.xpi.com.br/fundos-imobiliarios/devant-recebiveis-imobiliarios-fii-deva11/,fii,identificado_pendente,Kinea High Yield CRI FII (KNHY11)
Valora CRI Indice de Preco FII (VGIP11),https://conteudos.xpi.com.br/fundos-imobiliarios/valora-cri-indice-de-preco-fii-vgip11/,fii,identificado_pendente,Kinea High Yield CRI FII (KNHY11)
Sparta Top FIC FI RF Credito Privado Longo Prazo,https://conteudos.xpi.com.br/fundos-de-investimento/sparta-top-fic-fi-rf-credito-privado-longo-prazo/,fundo_aberto,identificado_pendente,"GRUPO: RF Credito Generico (Andes, Oportunidade, IPCA Dinamico, Dakar)"
JGP Corporate FIC FIF RF CP LP Feeder III,https://conteudos.xpi.com.br/fundos-de-investimento/jgp-corporate-fic-firf-cp-lp-feeder-iii/,fundo_aberto,identificado_pendente,"GRUPO: RF Credito Generico (Andes, Oportunidade, IPCA Dinamico, Dakar)"
SPX Nimitz Feeder FIC de FIM,https://conteudos.xpi.com.br/fundos-de-investimento/spx-nimitz-feeder-fic-de-fim/,fundo_aberto,identificado_pendente,"GRUPO: Multimercados Macro (Chronos, Atlas II, Apolo)"
Ibiuna Hedge STH FIC FIM,https://conteudos.xpi.com.br/fundos-de-investimento/ibiuna-hedge-sth-fic-fim/,fundo_aberto,identificado_pendente,"GRUPO: Multimercados Macro (Chronos, Atlas II, Apolo)"
Constellation Institucional FIC FIA,https://conteudos.xpi.com.br/fundos-de-investimento/constellation-institucional-fic-fia/,fundo_aberto,identificado_pendente,GRUPO: Acoes Livre (Gama)
Selection Acoes FIC FIA,https://conteudos.xpi.com.br/fundos-de-investimento/selection-acoes-fic-fia/,fundo_aberto,identificado_pendente,GRUPO: Acoes Livre (Gama)
Itau Asset Rural FIAGRO FII (RURA11),https://conteudos.xpi.com.br/fundos-imobiliarios/itau-asset-rural-fiagro-fii-rura11/,fii,identificado_pendente,GRUPO: FIAGRO (KNCA11)
Vectis Datagro Credito Agronegocio FIAGRO FII (VCRA11),https://conteudos.xpi.com.br/fundos-imobiliarios/vectis-datagro-credito-agronegocio-fiagro-fii-vcra11/,fii,identificado_pendente,GRUPO: FIAGRO (KNCA11)
Canaa CRA Cocal FIAGRO RL Subclasse A,https://conteudos.xpi.com.br/fundos-de-investimento/canaa-cra-cocal-fiagro-rl-subclasse-a/,fundo_aberto,identificado_pendente,GRUPO: FIAGRO (KNCA11)
VBI Prime Properties FII (PVBI11),https://conteudos.xpi.com.br/fundos-imobiliarios/vbi-prime-properties-fii-pvbi11/,fii,identificado_pendente,GRUPO: FII Tijolo Diversificado (KNRI11)
Vinci Logistica FII (VILG11),https://conteudos.xpi.com.br/fundos-imobiliarios/vinci-logistica-fii-vilg11/,fii,identificado_pendente,GRUPO: FII Tijolo Diversificado (KNRI11)
XP Credito Imobiliario FII (XPCI11),https://conteudos.xpi.com.br/fundos-imobiliarios/xp-credito-imobiliario-xpci11/,fii,identificado_pendente,"GRUPO: FII Papel Recebiveis (KNCR11, KNIP11)"
Capitania Securities II FII (CPTS11),https://conteudos.xpi.com.br/fundos-imobiliarios/capitania-securities-ii-fii-cpts11/,fii,identificado_pendente,"GRUPO: FII Papel Recebiveis (KNCR11, KNIP11)"
XP Selection Fundo de Fundos FII (XPSF11),https://conteudos.xpi.com.br/fundos-imobiliarios/xp-selection-fundo-de-fundos-fii-xpsf11/,fii,identificado_pendente,GRUPO: FII Fundo de Fundos (KFOF11)
Hedge Top FOFII 3 FII (HFOF11),https://conteudos.xpi.com.br/fundos-imobiliarios/hedge-top-fofii-3-fii-hfof11/,fii,identificado_pendente,GRUPO: FII Fundo de Fundos (KFOF11)
