nome_padronizado,tipo_pagina,categoria_padronizada,taxa_administracao_pct,percentil_pl,pl_sobre_mediana_universo,classe_anbima_cvm,completude_conteudo_pct,campos_faltando,categoria_generica_xp,posicionamento_publico_alvo,disponibilidade,taxa_vs_media_categoria_kinea,diagnostico_preliminar
Kinea Credito Agro FIAGRO FII (KNCA11),fii,Fundo Imobiliário (FII),1.0,100.0,4.62,FIAGRO,50.0,"quantidade_cotistas, valor_patrimonial",False,não comparável (público-alvo ausente na Kinea ou nos concorrentes),"Compra/venda via B3 (liquidez de mercado, não contratual)",-0.13,"porte líder na categoria; ficha incompleta (50.0%: falta quantidade_cotistas, valor_patrimonial)"
Kinea Rendimentos Imobiliarios FII (KNCR11),fii,Fundo Imobiliário (FII),1.0,100.0,126.39,FII - Multicategoria,100.0,,False,não comparável (público-alvo ausente na Kinea ou nos concorrentes),"Compra/venda via B3 (liquidez de mercado, não contratual)",-0.13,porte líder na categoria
Kinea Indices de Precos FII (KNIP11),fii,Fundo Imobiliário (FII),1.0,99.7,85.6,FII - Multicategoria,100.0,,False,não comparável (público-alvo ausente na Kinea ou nos concorrentes),"Compra/venda via B3 (liquidez de mercado, não contratual)",-0.13,porte líder na categoria
Kinea Alpes Prev XP Seg RF CP FICFI,previdencia,Multimercado,1.0,99.5,154.46,Previdência Multimercado Livre,66.7,"objetivo, classificacao_xp",False,não comparável (público-alvo ausente na Kinea ou nos concorrentes),Aplicação/resgate direto pela distribuidora (liquidez contratual),0.0,"porte líder na categoria; ficha incompleta (66.7%: falta objetivo, classificacao_xp)"
Kinea Renda Imobiliaria FII (KNRI11),fii,Fundo Imobiliário (FII),1.25,99.2,53.05,FII - Multicategoria,100.0,,False,não comparável (público-alvo ausente na Kinea ou nos concorrentes),"Compra/venda via B3 (liquidez de mercado, não contratual)",0.12,porte líder na categoria
Kinea High Yield CRI FII (KNHY11),fii,Fundo Imobiliário (FII),1.6,98.8,35.23,FII - Multicategoria,100.0,,False,não comparável (público-alvo ausente na Kinea ou nos concorrentes),"Compra/venda via B3 (liquidez de mercado, não contratual)",0.47,porte líder na categoria; taxa adm. acima da média das outras Kinea da mesma categoria
Kinea Infra FII (KDIF11),fii,Renda Fixa,1.05,97.2,54.66,Renda Fixa Duração Livre Crédito Livre,50.0,"quantidade_cotistas, valor_patrimonial",False,não comparável (público-alvo ausente na Kinea ou nos concorrentes),"Compra/venda via B3 (liquidez de mercado, não contratual)",0.25,"porte líder na categoria; ficha incompleta (50.0%: falta quantidade_cotistas, valor_patrimonial)"
Kinea Andes FIF CIC RF CP LP RL,fundo_aberto,Renda Fixa,0.7,94.2,24.38,Renda Fixa Duração Livre Crédito Livre,100.0,,False,menos restritivo que a maioria dos concorrentes diretos,Aplicação/resgate direto pela distribuidora (liquidez contratual),-0.1,porte líder na categoria
Kinea Oportunidade FIF RF CP RL - Subclasse I,fundo_aberto,Renda Fixa,0.8,88.3,10.55,Renda Fixa Duração Livre Crédito Livre,100.0,,False,menos restritivo que a maioria dos concorrentes diretos,Aplicação/resgate direto pela distribuidora (liquidez contratual),-0.0,sem achado nos critérios acima
Kinea Fundo de Fundos Imobiliarios FII (KFOF11),fii,Fundo Imobiliário (FII),0.92,88.1,7.13,FII - Multicategoria,100.0,,False,não comparável (público-alvo ausente na Kinea ou nos concorrentes),"Compra/venda via B3 (liquidez de mercado, não contratual)",-0.21,sem achado nos critérios acima
Kinea Incentivado RF CP LP FIF,fundo_aberto,Renda Fixa,0.7,81.1,5.38,Renda Fixa Duração Livre Crédito Livre,100.0,,False,menos restritivo que a maioria dos concorrentes diretos,Aplicação/resgate direto pela distribuidora (liquidez contratual),-0.1,sem achado nos critérios acima
Kinea Chronos FIM RL - Subclasse I,fundo_aberto,Multimercado - Macro,1.5,63.2,1.95,Multimercados Macro,100.0,,False,alinhado com a maioria dos concorrentes diretos,Aplicação/resgate direto pela distribuidora (liquidez contratual),0.07,sem achado nos critérios acima
Kinea Atlas II FIM RL - Subclasse I,fundo_aberto,Multimercado - Macro,2.0,57.8,1.46,Multimercados Macro,100.0,,False,alinhado com a maioria dos concorrentes diretos,Aplicação/resgate direto pela distribuidora (liquidez contratual),0.57,taxa adm. acima da média das outras Kinea da mesma categoria
Kinea IPCA Dinamico II FIF RF RL - Subclasse II,fundo_aberto,Renda Fixa,0.66,57.5,1.38,Renda Fixa Duração Livre Crédito Livre,100.0,,False,menos restritivo que a maioria dos concorrentes diretos,Aplicação/resgate direto pela distribuidora (liquidez contratual),-0.14,sem achado nos critérios acima
Kinea Apolo FIF MM RL,fundo_aberto,Multimercado - Macro,0.8,53.0,1.18,Multimercados Macro,100.0,,False,alinhado com a maioria dos concorrentes diretos,Aplicação/resgate direto pela distribuidora (liquidez contratual),-0.63,taxa adm. abaixo da média das outras Kinea da mesma categoria
Kinea Dakar FIF CIC RF LP RL,fundo_aberto,Renda Fixa,0.9,38.2,0.66,Renda Fixa Duração Livre Crédito Livre,100.0,,False,menos restritivo que a maioria dos concorrentes diretos,Aplicação/resgate direto pela distribuidora (liquidez contratual),0.1,sem achado nos critérios acima
Kinea Gama FIF CIC em Acoes RL - Subclasse I,fundo_aberto,Ações,2.0,0.6,0.0,Ações Livre,100.0,,False,menos restritivo que a maioria dos concorrentes diretos,Aplicação/resgate direto pela distribuidora (liquidez contratual),0.0,porte pequeno na categoria
