nome_padronizado,categoria_padronizada,categoria_generica_xp,publico_alvo_kinea,n_concorrentes_com_publico_alvo,posicionamento_publico_alvo,aplicacao_minima_kinea,aplicacao_minima_comparavel_concorrentes,tipo_pagina,disponibilidade,pct_concorrentes_mais_restritivos
Kinea Chronos FIM RL - Subclasse I,Multimercado - Macro,False,Investidor em Geral,618,alinhado com a maioria dos concorrentes diretos,R$ 500,False,fundo_aberto,Aplicação/resgate direto pela distribuidora (liquidez contratual),40.5
Kinea Rendimentos Imobiliarios FII (KNCR11),Fundo Imobiliário (FII),False,Não Há Restrição,0,não comparável (público-alvo ausente na Kinea ou nos concorrentes),,False,fii,"Compra/venda via B3 (liquidez de mercado, não contratual)",
Kinea Atlas II FIM RL - Subclasse I,Multimercado - Macro,False,Investidor em Geral,618,alinhado com a maioria dos concorrentes diretos,R$ 500,False,fundo_aberto,Aplicação/resgate direto pela distribuidora (liquidez contratual),40.5
Kinea Oportunidade FIF RF CP RL - Subclasse I,Renda Fixa,False,Investidor Qualificado,2631,menos restritivo que a maioria dos concorrentes diretos,R$ 500,False,fundo_aberto,Aplicação/resgate direto pela distribuidora (liquidez contratual),60.1
Kinea Gama FIF CIC em Acoes RL - Subclasse I,Ações,False,Investidor em Geral,1797,menos restritivo que a maioria dos concorrentes diretos,R$ 500,False,fundo_aberto,Aplicação/resgate direto pela distribuidora (liquidez contratual),65.7
Kinea IPCA Dinamico II FIF RF RL - Subclasse II,Renda Fixa,False,Investidor em Geral,2631,menos restritivo que a maioria dos concorrentes diretos,R$ 500,False,fundo_aberto,Aplicação/resgate direto pela distribuidora (liquidez contratual),73.6
Kinea Alpes Prev XP Seg RF CP FICFI,Multimercado,False,,2408,não comparável (público-alvo ausente na Kinea ou nos concorrentes),R$ 100,False,previdencia,Aplicação/resgate direto pela distribuidora (liquidez contratual),
Kinea Renda Imobiliaria FII (KNRI11),Fundo Imobiliário (FII),False,Não Há Restrição,0,não comparável (público-alvo ausente na Kinea ou nos concorrentes),,False,fii,"Compra/venda via B3 (liquidez de mercado, não contratual)",
Kinea Indices de Precos FII (KNIP11),Fundo Imobiliário (FII),False,Não Há Restrição,0,não comparável (público-alvo ausente na Kinea ou nos concorrentes),,False,fii,"Compra/venda via B3 (liquidez de mercado, não contratual)",
Kinea Infra FII (KDIF11),Renda Fixa,False,,2631,não comparável (público-alvo ausente na Kinea ou nos concorrentes),,False,fii,"Compra/venda via B3 (liquidez de mercado, não contratual)",
Kinea Fundo de Fundos Imobiliarios FII (KFOF11),Fundo Imobiliário (FII),False,Não Há Restrição,0,não comparável (público-alvo ausente na Kinea ou nos concorrentes),,False,fii,"Compra/venda via B3 (liquidez de mercado, não contratual)",
Kinea Credito Agro FIAGRO FII (KNCA11),Fundo Imobiliário (FII),False,,0,não comparável (público-alvo ausente na Kinea ou nos concorrentes),,False,fii,"Compra/venda via B3 (liquidez de mercado, não contratual)",
Kinea High Yield CRI FII (KNHY11),Fundo Imobiliário (FII),False,Não Há Restrição,0,não comparável (público-alvo ausente na Kinea ou nos concorrentes),,False,fii,"Compra/venda via B3 (liquidez de mercado, não contratual)",
Kinea Andes FIF CIC RF CP LP RL,Renda Fixa,False,Investidor em Geral,2631,menos restritivo que a maioria dos concorrentes diretos,R$ 500,False,fundo_aberto,Aplicação/resgate direto pela distribuidora (liquidez contratual),73.6
Kinea Apolo FIF MM RL,Multimercado - Macro,False,Investidor em Geral,618,alinhado com a maioria dos concorrentes diretos,R$ 500,False,fundo_aberto,Aplicação/resgate direto pela distribuidora (liquidez contratual),40.5
Kinea Dakar FIF CIC RF LP RL,Renda Fixa,False,Investidor em Geral,2631,menos restritivo que a maioria dos concorrentes diretos,R$ 500,False,fundo_aberto,Aplicação/resgate direto pela distribuidora (liquidez contratual),73.6
Kinea Incentivado RF CP LP FIF,Renda Fixa,False,Investidor em Geral,2631,menos restritivo que a maioria dos concorrentes diretos,R$ 500,False,fundo_aberto,Aplicação/resgate direto pela distribuidora (liquidez contratual),73.6
